500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600,500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600,500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550
15.7,16.0,16.6,17.1,17.6,18.0,18.4,18.7,18.9,19.0,19.1,19.1,19.0,18.8,18.6,18.3,17.9,17.6,17.1,16.7,16.3,17.5,18.1,18.9,19.6,20.4,21.1,21.7,22.2,22.7,23.0,23.1,23,22.8,22.5,22,21.5,20.8,20.1,19.5,18.8,18.1,17.9,18.9,19.8,20.7,21.6,22.4,23.2,24.0,24.6,24.9,25.1,25.0,24.8,24.3,23.6,22.8,22.2,21.3,20.5,19.8,19.0,9.8,10.1,10.5,10.9,11.2,11.5,11.8,12.0,12.2,12.3,12.4,12.3,12.2,12.1,11.9,11.7,11.4,11.2,10.9,10.6,10.4,22.8,25.2,27.8,30.6,35.0,40.1,47.8,58.0,68,82.5,91.5,86.1,73.5,62.8,51.0,44.0,38.6,34.5,30.7,27.7,25.4,20.3,22.4,25,28.3,32.5,37.8,44.9,54.9,68.8,82.1,91.1,86.5,74.2,62.4,52.8,44.5,39.5,35.4,32.1,29.9,27.8
0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
