450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650
9.8,10.1,10.5,10.9,11.2,11.5,11.8,12.0,12.2,12.3,12.4,12.3,12.2,12.1,11.9,11.7,11.4,11.2,10.9,10.6,10.4
4.34,4.46,4.59,4.71,4.81,4.9,4.97,5,5,4.97,4.9,4.81,4.67,4.5,4.36,4.17,3.98,3.79,3.6,3.42,3.27
